abstract,new_old,serious
backgroundthe prevalence metronidazole-resistant h  pylori almost NUM  thailand severely limits use drug eradication therapy  study evaluate efficacy safety profiles NUM-day bismuth-based quadruple therapy including metronidazole initial treatment h  pylori infection high metronidazole resistance area materials methodsthis study performed thammasat university hospital king chulalongkorn memorial hospital january NUM october NUM  patients non-ulcer dyspepsia  nud  active h  pylori infection assigned receive seven days quadruple therapy  pantoprazole NUM mg bid  bismuth subsalicylate NUM NUM mg bid  amoxicillin NUM gm bid metronidazole NUM mg tid   h  pylori infection defined positive h  pylori culture two positive tests  rapid urease test histology   antibiotic susceptibility test metronidazole epsilometer test  e-test  performed positive cultures  least four weeks treatment  NUMc urea breath test  NUMc-ubt  performed confirm h  pylori eradication resultsa total NUM patients enrolled study  NUM males NUM females mean age NUM NUM years  NUM patients diagnosis nud  overall eradication confirmed negative NUMc-ubt achieved NUM NUM patients  NUM NUM    NUM patients positive cultures success e-test  vitro metronidazole resistance observed NUM NUM  NUM   patients  eradication rate patients metronidazole resistant strains NUM NUM  NUM NUM   NUM NUM  NUM NUM   metronidazole sensitive strains  NUM NUM  vs NUM NUM   p-value NUM NUM  NUM NUM  NUM ci NUM NUM-NUM NUM    minor adverse reactions included nausea  bitter taste  diarrhea black stools none patients dropped study conclusionsinitial treatment NUM-day bismuth-based quadruple therapy including metronidazole  amoxycillin pantoprazole highly effective well tolerated metronidazole-sensitive h  pylori infections  however  efficacy markedly decline metronidazole resistance  longer duration regimen might required improve eradication rate larger multi-center studies needed confirm hypothesis,old,Non-Serious
common adverse symptoms cancer chemotherapy major health burden  chief among pain  opioids including transdermal fentanyl mainstay treatment  innate immune activation implicated generally pain  opioid analgesia  cognitive dysfunction  sickness type symptoms reported cancer patients  aimed determine genetic polymorphisms neuroimmune activation pathways alter serum fentanyl concentration-response relationships pain control  cognitive dysfunction  adverse symptoms  cancer pain patients  cancer pain patients  NUM  receiving transdermal fentanyl genotyped NUM single nucleotide polymorphisms NUM genes  caspNUM  bdnf  crp  lyNUM  ilNUM  ilNUMb  tgfbNUM  tnf  ilNUM  ilNUM  tlrNUM  tlrNUM  mydNUM  ilNUMr  oprmNUM  arrbNUM  comt  statNUM abcbNUM  lasso backward stepwise generalised linear regression used identify non-genetic genetic predictors  respectively  pain control  average brief pain inventory   NUM   cognitive dysfunction  mini-mental state examination   NUM   sickness response opioid adverse event complaint  serum fentanyl concentrations predict between-patient variability outcomes  genetic factors predict pain control  sickness response opioid adverse event complaint  carriers mydNUM rsNUM variant half likely cognitive dysfunction  NUM NUM  wild-type patients  NUM NUM   relative risk NUM NUM  NUM  ci  NUM NUM NUM NUM  accounting major non-genetic predictors  age  karnofsky functional score   supports involvement innate immune signalling cognitive dysfunction  identifies mydNUM signalling pathways potential focus predicting reducing burden cognitive dysfunction cancer pain patients,old,Serious
maturity onset diabetes young  mody  designates monogenic forms non-autoimmune diabetes characterised  autosomal dominant inheritance  non-insulin dependent diabetes onset diagnosis often NUM years age  mody constitutes genetically clinically heterogeneous  forms diabetes  NUM different genes known cause mody  among hepatocyte nuclear factor NUM alpha  hnfNUMa   modyNUM  glucokinase  gck   modyNUM  mutations common  forms mody characterised  specific beta cell dysfunction  patients hnfNUMa-diabetes reduced insulin secretory capacity  patients gck-diabetes glucose-sensing defect  preserved insulin secretory capacity  patients mody effectively treated sulphonylurea  su  due high sensitivity drugs  also prone develop hypoglycaemia  thesis study pathophysiology gck-diabetes hnfNUMa-diabetes investigating incretin effect  physiological response food ingestion estimate treatment potential glucagon-like peptide-NUM receptor agonist  glp-NUMra  patients hnfNUMa-diabetes  study investigated incretin effect responses islet hormones incretin hormones oral glucose tolerance test  ogtt  isoglycaemic iv glucose infusion  iigi  patients gck-diabetes  patients hnfNUMa-diabetes  bmi age matched healthy individuals  ctrls   study ii investigated responses islet hormones incretin hormones physiological stimulus consisting standardised meal test patients gck-diabetes  patients hnfNUMa--diabetes  bmi age matched ctrls  study iii conducted randomised  double-blind  crossover trial investigating glucose lowering effect risk hypoglycaemia  NUM weeks treatment glp-NUMra  liraglutide compared su  glimepiride NUM patients hnfNUMa-diabetes  baseline end treatment period standardised meal test followed light bicycling test performed  results studies showed patients hnfNUMa-diabetes less glucose tolerant patients gck-diabetes  groups glucose intolerant ctrls  spite glucose intolerance patients gck-diabetes showed normal incretin effect  whereas patients hnfNUMa-diabetes showed impaired incretin effect  patients hnfNUMa-diabetes also characterised inappropriate insulin response  normal insulin sensitivity found groups diabetes patients  prospective intervention trial glucose lowering effect fasting plasma glucose  fpg  demonstrated  treatments without significant difference treatments  postprandial plasma glucose responses also lower glimepiride liraglutide compared baseline without significant difference treatments  spite findings glimepiride seems superior glucose lowering effects according fpg postprandial glucose responses  hypoglycaemic events  plasma glucose   NUM NUM mm  occurred NUM times glimepiride treatment liraglutide treatment  differences treatments demonstrated  according insulin glucagon responses gastric emptying  counter-regulatory responses preserved treatments  effect either treatment seen fructosamine hbaNUMc  conclusion  patients gck-diabetes show normal incretin glucagon physiology  thus resembling healthy individuals  spite fasting hyperglycaemia  subtle glucose intolerance  contrast  patients hnfNUMa-diabetes exhibited noticeable glucose intolerance  beta cell dysfunction  impaired incretin effect  inappropriate  glucagon response oral stimuli  hence resembling patients type NUM diabetes  however  normal responses incretin hormones normal insulin sensitivity found patients hnfNUMa-diabetes  six weeks treatment glimepiride liraglutide demonstrated glucose lowering effects  effect greater glimepiride  although insignificant  expense higher risk hypoglycaemia  predominantly mild   glp-NUMras may place treatment patients hnfNUMa-diabetes  especially hypoglycaemia problem  future studies required clarify,old,Non-Serious
liraglutide glucagon-like peptide-NUM receptor analog recently approved treatment type NUM diabetes mellitus  tNUMdm   aimed assess efficacy safety liraglutide versus glimepiride  adjunct treatments metformin  achieving glycemic control italian patients tNUMdm uncontrolled metformin alone subjects methodsone hundred seventy-nine diabetes patients treated metformin plus liraglutide  NUM NUM mg  glimepiride  NUM mg  retrospectively assessed baseline   NUM months continuous therapy resultstreatment liraglutide resulted mean decreases hemoglobin aNUMc  hbaNUMc  -NUM NUM   compared glimepiride  -NUM NUM    p   NUM NUM   followed significant reduction  p   NUM NUM  fasting plasma glucose  variations hbaNUMc occurred independently weight loss  significantly reduced  p   NUM NUM  liraglutide-treated patients  percentage subjects reaching hbaNUMc levels NUM    NUM NUM  significantly different two treated groups  p   NUM NUM   treatment liraglutide reduced waist circumference  wc   p   NUM NUM  decreased systolic diastolic blood pressure  bp   p   NUM NUM   interesting study also showed impact female gender predicting better glycemic response liraglutide  p   NUM NUM  conclusionsliraglutide effective glimepiride reducing hbaNUMc levels treated patients tNUMdm  evident genders  particularly women  furthermore  liraglutide reduced body weight  wc  bp  critical risk factors cardiovascular disease,old,Non-Serious
NUM-blocker metoprolol often prescribed together propafenone  metabolized cytochrome pNUM NUMdNUM  metoprolol serves probe drug phenotyping enzyme  propafenone also inhibitor pNUM NUMdNUM  NUM- NUM-fold increase metoprolol steady-state levels described combination propafenone  case report showing metoprolol propafenone ingestion suicidal attempt together  material methods  NUM-year-old girl admitted emergency department ingested propafenone  probably NUM-NUM mg  metoprolol  probably NUM mg  suicide attempt loss consciousness  seizures  widening qrs complex  plasma levels metoprolol propafenone analysed approximately NUM hours ingestion  however  correct amount drug time ingestion unknown  serial samples measurement metoprolol metabolite -hydroxymetoprolol analysed days NUM NUM  metoprolol -hydroxymetoprolol ratio determined  results  patient clinical condition rapidly deteriorated  developed cardiac arrest fully resuscitated  extracorporeal circulation started  condition gradually worsened  brain edema acute renal insufficiency occurred  NUMth day patient died  first concentrations NUM ng ml  propafenone  NUM ng ml  metoprolol   levels metoprolol -hydroxymetoprolol declined slowly NUM NUM ng ml  NUMnd day  NUM NUM ng ml  fourth day  NUM NUM ng ml NUM NUM ng ml  respectively  metoprolol -hydroxymetoprolol ratio determined second day NUM NUM  indicative poor metabolizer phenotype  declining NUM NUM NUM NUM third day NUM NUM fourth day  elimination half-life metoprolol prolonged NUM NUM hours NUM-fold longer normal value  conclusions  report first pediatric case death due mixed drug overdose metoprolol propafenone  toxicity metoprolol potentiated drug interaction propafenone causing inhibition pNUM NUMdNUM,old,Serious
results previous studies maternal folic acid intake infant oral clefts inconclusive  present study investigate association women use folic acid multivitamin supplements risk oral cleft newborn  used data medical birth registry norway based births norway NUM NUM  total NUM NUM women NUM NUM pregnancies  resulting NUM NUM live births stillbirths  NUM oral clefts  isolated oral clefts  n NUM  non-isolated oral clefts  n NUM   altogether  NUM  NUM   women vitamin supplement users pregnancy  birth prevalence oral clefts NUM  NUM NUM live births stillbirths  relative risks  rr  estimated log-binomial regression  pregnancies maternal use vitamins  adjusted rr clefts overall NUM  NUM  NUM   ci NUM  NUM  NUM  NUM   adjusted rr cleft palate  n NUM  NUM  NUM  NUM   ci NUM  NUM  NUM  NUM  cleft lip without cleft palate  n NUM  NUM  NUM  NUM   ci NUM  NUM  NUM  NUM   associations stronger cleft cases occurred combination malformations  adjusted rr NUM  NUM  NUM   ci NUM  NUM  NUM  NUM   although vitamin supplements provided protection isolated clefts  adjusted rr NUM  NUM  NUM   ci NUM  NUM  NUM  NUM   conclusion  study demonstrates statistically significant association vitamin use isolated oral clefts  however  found lower risk oral clefts occurred combination malformations,old,Serious
prognosis patients multiple myeloma  mm  substantially improved last years- due implementation novel drugs treatment  case report  report case female NUM-year-old patient refractory light chain myeloma  delNUMq  tNUM NUM  igh-rearrangement  bone-lesions skull axial skeleton  treated multiple therapies - bortezomib  lenalidomide  thalidomide  melphalan  asct  bendamustin - recently bortezomib liposomal doxorubicin  without durable disease control  figure   cyclophosphamide orally NUM mg day  twice week NUM mg combined dexamethasone NUM mg orally weekly initiated  resulting vgpr maintained NUM months  radiologic findings showed deterioration  osteolytic lesions skull axial skeleton stable  cyclophosphamide combination dexamethasone well tolerated significant hematologic nonhematologic side effects noted  conclusion  oral cyclophosphamide combination dexamethasone effective well tolerated heavily pretreated multiple myeloma patient  suggest   old drugs   considered treatment option patients refractory multiple therapies including novel agents,old,Non-Serious
us food drug administration suggested proton pump inhibitors  ppis  increase international normalized ratio  inr  used concomitantly warfarin  wf  metabolized cytochrome pNUM NUMcNUM  cypNUMcNUM   assessed whether cypNUMcNUM genotypes type ppi accentuated drug interaction  methods results study group NUM patients needed wf surgery cypNUMcNUM genotypes analyzed advance  randomly divided two groups  group  n   NUM  included patients lansoprazole NUM mg day group ii  n   NUM  included patients rabeprazole NUM mg day  dose wf controlled doctor charge target inr NUM NUM NUM NUM NUM months surgery  maximum inr significantly higher group  NUM NUM  à NUM NUM  group ii  NUM NUM  à NUM NUM  p   NUM NUM   incidence over-inr    NUM NUM  significantly higher group  NUM cases  group ii  NUM cases  p   NUM NUM   several bleeding events complicated NUM patients group  none group ii  p   NUM NUM   logistic regression analysis revealed over-inr  odds ratio   NUM NUM  NUM  confidence interval  ci   NUM NUM-NUM NUM  p   NUM NUM   pair lansoprazole cypNUMcNUM intermediate metabolizer  NUM NUM  NUM  ci  NUM NUM-NUM NUM  p   NUM NUM  independent predictors bleeding events  conclusion patient intermediate metabolizer cypNUMcNUM genotype concomitant use wf ppi open heart surgery  lansoprazole intensifies effects wf associated bleeding events,old,Serious
long term outcome children born mothers inflammatory bowel disease ibd  relatively unexplored  study analyze health status children born mothers ibd  methods  women diagnosed ibd prior pregnancy gave birth NUM NUM invited  informed consent parents  general practitioner  gp  contacted following child outcomes  growth  number infections antibiotics needed  allergies allergic reactions vaccinations  low birth weight stated  NUMg  preterm birth gestational age  NUM weeks  eurocat guideline used classify congenital abnormalities  results  total NUM invitations  NUM rounds  sent women ibd NUM dutch hospitals  response NUM NUM  NUM   november NUM NUM children NUM ibd mothers  NUM NUM NUM   cd NUM NUM NUM  uc NUM NUM NUM  ibdu  included  median child age follow NUM years iqr NUM-NUM   utero NUM NUM NUM   children exposed ibd drug  NUM NUM NUM   mesalazine  NUM NUM NUM   thiopurine  NUM children NUM NUM   anti- tnf  NUM NUM NUM   anti- tnf thiopurine NUM NUM NUM   unknown  difference anti- tnf exposed non- exposed children considering  median gestational age  NUM weeks iqr NUM-NUM    pre- term births  NUM NUM NUM     overall birth weight  NUM gram iqr NUM-NUM    low birth weight  NUM NUM    major congenital abnormalities  NUM NUM NUM     five NUM NUM   children showed primary secondary growth deficiency  none children exposed anti- tnf  apart one extended rash vaccination reports severe vaccination reactions  overall NUM children allergies  allergies common non anti- tnf exposed chil-dren NUM NUM   compared anti- tnf exposed children NUM NUM    p NUM NUM   median number infections NUM iqrNUM-NUM   difference infections rate anti- tnf exposed children compared non- anti tnf exposed  furthermore  increased infection rate thiopurine exposed children children exposed anti- tnf thiopurine  conclusions  long term follow-up study children born ibd mothers show major adverse events  overall normal growth development compared dutch population  apart lower incidence allergies difference observed utero anti-tnf exposed non-exposed children,old,Non-Serious
dexketoprofen shown provide efficient analgesia opioid-sparing effect orthopedic surgery  dose-finding study  evaluated analgesic efficacy opioid-sparing effect dexketoprofen administered intravenously  v   laparoscopic cholecystectomy  lcc  methodstwenty-four patients undergoing lcc randomized receive dexketoprofen NUM NUM mg v  NUM min end surgery  subjects provided NUM NUM mg kg oxycodone anesthesia induction  recovery room  pain assessed NUM-point numerical rating scale  nrs  score NUM   pain  score NUM   severe pain  every NUM min  nrs score  NUM NUM rest  NUM NUM wound compression  plasma sample taken analysis oxycodone  determine minimum effective concentration  mec    metabolites  dexketoprofen   subjects titrated oxycodone NUM NUM mg v  every NUM min nrs score  NUM NUM rest  NUM NUM wound compression  point  second plasma sample taken analysis oxycodone  minimum effective analgesic concentration  meac    metabolites  dexketoprofen resultsat onset pain  plasma oxycodone concentrations  mec  similar two groups  median NUM ng ml  range NUM-NUM  NUM mg group median NUM ng ml  range NUM-NUM  NUM mg group  time pain relief  meacs NUM ng ml  range NUM-NUM  NUM mg group NUM ng ml  range NUM-NUM  NUM mg group  total doses oxycodone needed achieve pain relief similar  NUM NUM mg kg  range NUM-NUM NUM  NUM mg group NUM NUM mg kg  range NUM-NUM NUM  NUM mg group  eleven subjects developed mild desaturation decreased respiratory rate oxycodone titration conclusionin present double-blinded  randomized clinical trial  need rescue opioid analgesic  oxycodone  similar two dose levels dexketoprofen-NUM NUM mg v -after lcc,old,Serious
pulmonary venoocculusive disease  pvod  often accompanied connective tissue disease related pulmonary hypertension  ctd-ph   report autopsy case ssc-ph pvod without pulmonary fibrosis  case  NUM years old woman presenting finger sclerosis raynaud phenomenon NUM years diagnosed lcssc NUM years ago ana NUM anti-centromere antibody  mean pulmonary artery pressure  mpap  right heart catheterization rhc  NUM mmhg  NUM  g beraprost initiated  started dyspnea NUM months admission got worse  hospitalized  d-shape seen echo-cardiogram pulmonary artery pressure rhc NUM NUM  NUM  mmhg  hrct chest showed marked ground-glass opacities centrilobular pattern  septal lines  minimal right pleural effusion  mediastinal lymph node enlargement  diagnosed ph pulmonary artery hypertension  pah  pvod  home oxygen therapy  bosentan NUM NUM mg  loop diuretic started  dyspnea pulmonary artery pressure gradually improved  discharge  comes hospital month without worsening NUM min walk test  rhc  echocardiogram  NUM months discharge  complained dyspnea exertion admitted  right pulmonary pressure NUM NUM  NUM  mmhg  right heart failure worsened  though NUM mg sildenafil started  stopped NUM week low blood pressure non-efficacy  loop diuretics adjusted  edema dyspnea improved  NUMth day admission  complained sudden dyspnea went cardiac arrest  autopsy done  pulmonary arteriopathy heath-edwards NUM-NUM degree  time  occlusive pulmonary venopathy pulmonary capillary hemangionmatosis  pch  seen  sign pulmonary fibrosis hrct pathology specimen  conclusion  careful consideration pah pvod must needed treatment patients ssc-ph,old,Serious
